Item Group,Parent Item Group,Is Group,Item Group Name,Description,Tags,Level,Category ID,Parent Category ID
Dog Kennels & Runs,Animals & Pet Supplies,1,Dog Kennels & Runs,,,1,ap-2-3-6,
Dog Pens,Dog Kennels & Runs,0,Dog Pens,,,2,ap-2-3-6-1,ap-2-3-6
Dog Runs,Dog Kennels & Runs,0,Dog Runs,,,2,ap-2-3-6-2,ap-2-3-6
Indoor Dog Kennels,Dog Kennels & Runs,0,Indoor Dog Kennels,,,2,ap-2-3-6-3,ap-2-3-6
Outdoor Dog Kennels,Dog Kennels & Runs,0,Outdoor Dog Kennels,,,2,ap-2-3-6-4,ap-2-3-6
Portable Dog Kennels,Dog Kennels & Runs,0,Portable Dog Kennels,,,2,ap-2-3-6-5,ap-2-3-6
Dog Pens,Animals & Pet Supplies,0,Dog Pens,,,1,ap-2-3-6-1,
Dog Runs,Animals & Pet Supplies,0,Dog Runs,,,1,ap-2-3-6-2,
Indoor Dog Kennels,Animals & Pet Supplies,0,Indoor Dog Kennels,,,1,ap-2-3-6-3,
Outdoor Dog Kennels,Animals & Pet Supplies,0,Outdoor Dog Kennels,,,1,ap-2-3-6-4,
Portable Dog Kennels,Animals & Pet Supplies,0,Portable Dog Kennels,,,1,ap-2-3-6-5,
Dog Toys,Animals & Pet Supplies,0,Dog Toys,,,1,ap-2-3-7,
Dog Treadmills,Animals & Pet Supplies,0,Dog Treadmills,,,1,ap-2-3-8,
Dog Treats,Animals & Pet Supplies,0,Dog Treats,,,1,ap-2-3-9,
Fish & Aquatic Supplies,Animals & Pet Supplies,1,Fish & Aquatic Supplies,,,1,ap-2-4,
Aquarium & Pond Tubings,Fish & Aquatic Supplies,0,Aquarium & Pond Tubings,,,2,ap-2-4-1,ap-2-4
Aquarium Air Stones & Diffusers,Fish & Aquatic Supplies,0,Aquarium Air Stones & Diffusers,,,2,ap-2-4-2,ap-2-4
Aquarium Cleaning Supplies,Fish & Aquatic Supplies,0,Aquarium Cleaning Supplies,,,2,ap-2-4-3,ap-2-4
Aquarium Decors,Fish & Aquatic Supplies,0,Aquarium Decors,,,2,ap-2-4-4,ap-2-4
Aquarium Filters,Fish & Aquatic Supplies,0,Aquarium Filters,,,2,ap-2-4-5,ap-2-4
Aquarium Fish Nets,Fish & Aquatic Supplies,0,Aquarium Fish Nets,,,2,ap-2-4-6,ap-2-4
Aquarium Gravel & Substrates,Fish & Aquatic Supplies,0,Aquarium Gravel & Substrates,,,2,ap-2-4-7,ap-2-4
Aquarium Lighting,Fish & Aquatic Supplies,0,Aquarium Lighting,,,2,ap-2-4-8,ap-2-4
Aquarium Overflow Boxes,Fish & Aquatic Supplies,0,Aquarium Overflow Boxes,,,2,ap-2-4-9,ap-2-4
Aquarium Stands,Fish & Aquatic Supplies,0,Aquarium Stands,,,2,ap-2-4-10,ap-2-4
Aquarium Temperature Controllers,Fish & Aquatic Supplies,0,Aquarium Temperature Controllers,,,2,ap-2-4-11,ap-2-4
Aquarium Water Treatments,Fish & Aquatic Supplies,0,Aquarium Water Treatments,,,2,ap-2-4-12,ap-2-4
Aquariums,Fish & Aquatic Supplies,0,Aquariums,,,2,ap-2-4-13,ap-2-4
Aquatic Plant Fertilizers,Fish & Aquatic Supplies,0,Aquatic Plant Fertilizers,,,2,ap-2-4-14,ap-2-4
Fish Feeders,Fish & Aquatic Supplies,0,Fish Feeders,,,2,ap-2-4-15,ap-2-4
Fish Food,Fish & Aquatic Supplies,0,Fish Food,,,2,ap-2-4-16,ap-2-4
Aquarium & Pond Tubings,Animals & Pet Supplies,1,Aquarium & Pond Tubings,,,1,ap-2-4-1,
Airlines,Aquarium & Pond Tubings,0,Airlines,,,2,ap-2-4-1-1,ap-2-4-1
Coil Tubings,Aquarium & Pond Tubings,0,Coil Tubings,,,2,ap-2-4-1-2,ap-2-4-1
Flexible Tubings,Aquarium & Pond Tubings,0,Flexible Tubings,,,2,ap-2-4-1-3,ap-2-4-1
Rigid Tubings,Aquarium & Pond Tubings,0,Rigid Tubings,,,2,ap-2-4-1-4,ap-2-4-1
Standard Tubings,Aquarium & Pond Tubings,0,Standard Tubings,,,2,ap-2-4-1-5,ap-2-4-1
Airlines,Animals & Pet Supplies,0,Airlines,,,1,ap-2-4-1-1,
Coil Tubings,Animals & Pet Supplies,0,Coil Tubings,,,1,ap-2-4-1-2,
Flexible Tubings,Animals & Pet Supplies,0,Flexible Tubings,,,1,ap-2-4-1-3,
Rigid Tubings,Animals & Pet Supplies,0,Rigid Tubings,,,1,ap-2-4-1-4,
Standard Tubings,Animals & Pet Supplies,0,Standard Tubings,,,1,ap-2-4-1-5,
Aquarium Air Stones & Diffusers,Animals & Pet Supplies,1,Aquarium Air Stones & Diffusers,,,1,ap-2-4-2,
Air Diffusers,Aquarium Air Stones & Diffusers,0,Air Diffusers,,,2,ap-2-4-2-1,ap-2-4-2
Disc Air Stones,Aquarium Air Stones & Diffusers,0,Disc Air Stones,,,2,ap-2-4-2-2,ap-2-4-2
Standard Air Stones,Aquarium Air Stones & Diffusers,0,Standard Air Stones,,,2,ap-2-4-2-3,ap-2-4-2
Tube Air Stones,Aquarium Air Stones & Diffusers,0,Tube Air Stones,,,2,ap-2-4-2-4,ap-2-4-2
Wall Air Stones,Aquarium Air Stones & Diffusers,0,Wall Air Stones,,,2,ap-2-4-2-5,ap-2-4-2
Air Diffusers,Animals & Pet Supplies,0,Air Diffusers,,,1,ap-2-4-2-1,
Disc Air Stones,Animals & Pet Supplies,0,Disc Air Stones,,,1,ap-2-4-2-2,
Standard Air Stones,Animals & Pet Supplies,0,Standard Air Stones,,,1,ap-2-4-2-3,
Tube Air Stones,Animals & Pet Supplies,0,Tube Air Stones,,,1,ap-2-4-2-4,
Wall Air Stones,Animals & Pet Supplies,0,Wall Air Stones,,,1,ap-2-4-2-5,
Aquarium Cleaning Supplies,Animals & Pet Supplies,1,Aquarium Cleaning Supplies,,,1,ap-2-4-3,
Algae Scrapers,Aquarium Cleaning Supplies,0,Algae Scrapers,,,2,ap-2-4-3-1,ap-2-4-3
Aquarium Gloves,Aquarium Cleaning Supplies,0,Aquarium Gloves,,,2,ap-2-4-3-2,ap-2-4-3
